dégâts;tempête;dégâts de la tempête
violence;coup;violence des coups
insulte;colère;insulte de la colère
bagarre;rue;bagarre de rue
duel;honneur;duel d'honneur
vengeance;affront;vengeance de l'affront
represaille;attaque;représaille de l'attaque
punition;bêtise;punition de la bêtise
fessée;désobéissance;fessée pour désobéissance
retenue;école;retenue à l'école
colle;lycée;colle au lycée
renvoi;élève;renvoi de l'élève
exclusion;cours;exclusion du cours
bulletin;note;bulletin de notes
carnet;correspondance;carnet de correspondance
agenda;devoirs;agenda de devoirs
leçon;maître;leçon du maître
devoir;maison;devoir à la maison
exercice;maths;exercice de maths
dictée;français;dictée de français
rédaction;sujet;rédaction sur un sujet
dissertation;philo;dissertation de philo
thèse;recherche;thèse de recherche
mémoire;fin d'étude;mémoire de fin d'étude
stage;entreprise;stage en entreprise
formation;continue;formation continue
apprentissage;métier;apprentissage du métier
expérience;vie;expérience de la vie
savoir;livre;savoir du livre
connaissance;étude;connaissance de l'étude
science;nature;science de la nature
art;création;art de la création
œuvre;artiste;œuvre de l'artiste
chef-d'œuvre;génie;chef-d'œuvre du génie
livre;auteur;livre de l'auteur
film;réalisateur;film du réalisateur
musique;compositeur;musique du compositeur
chanson;chanteur;chanson du chanteur
danse;chorégraphe;danse du chorégraphe
tableau;peintre;tableau du peintre
sculpture;sculpteur;sculpture du sculpteur
photo;photographe;photo du photographe
article;journaliste;article du journaliste
scoop;presse;scoop de la presse
une;journal;une du journal
titre;actualité;titre de l'actualité
nouvelle;monde;nouvelle du monde
info;télé;info de la télé
rumeur;bouche;rumeur de bouche à oreille
ragot;voisin;ragot du voisin
secret;famille;secret de famille
confidences;ami;confidences de l'ami
aveu;faiblesse;aveu de faiblesse
mensonge;peur;mensonge par peur
trahison;lâcheté;trahison par lâcheté
fidélité;amour;fidélité par amour
dévouement;cause;dévouement à la cause
sacrifice;enfant;sacrifice pour l'enfant
don;générosité;don par générosité
cadeau;noël;cadeau de noël
étrennes;nouvel an;étrennes du nouvel an
surprise;anniversaire;surprise d'anniversaire
fête;amis;fête entre amis
repas;famille;repas de famille
banquet;mariage;banquet de mariage
gala;charité;gala de charité
bal;fin d'année;bal de fin d'année
sortie;cinéma;sortie au cinéma
vacances;été;vacances d'été
congé;payé;congé payé
repos;dimanche;repos du dimanche
loisi;passion;loisir par passion
hobby;temps libre;hobby du temps libre
sport;santé;sport pour la santé
jeu;hasard;jeu de hasard
gain;loto;gain du loto
perte;casino;perte au casino
victoire;match;victoire du match
défaite;score;défaite au score
nul;partie;nul de la partie
revanche;retour;revanche au retour
belle;finale;belle de la finale
champion;tournoi;champion du tournoi
médaille;olympique;médaille olympique
record;monde;record du monde
exploit;sportif;exploit sportif
légende;siècle;légende du siècle
mythe;histoire;mythe de l'histoire
héros;roman;héros de roman
star;cinéma;star de cinéma
idole;jeune;idole des jeunes
fan;groupe;fan du groupe
public;concert;public du concert
spectateur;stade;spectateur du stade
auditeur;radio;auditeur de la radio
lecteur;livre;lecteur du livre
internaute;web;internaute du web
abonné;chaîne;abonné de la chaîne
follower;réseau;follower du réseau
influenceur;mode;influenceur de la mode
tendance;marché;tendance du marché
buzz;internet;buzz d'internet
virus;ordinateur;virus d'ordinateur
spam;mail;spam par mail
piratage;compte;piratage de compte
vol;données;vol de données
arnaque;ligne;arnaque en ligne
fraude;carte;fraude à la carte
joie;réussite;joie de la réussite
bonheur;amour;bonheur de l'amour
plaisir;jeu;plaisir du jeu
satisfaction;devoir;satisfaction du devoir
fierté;enfant;fierté de l'enfant
orgueil;victoire;orgueil de la victoire
vanité;apparence;vanité de l'apparence
gloire;combat;gloire du combat
honneur;famille;honneur de la famille
honte;échec;honte de l'échec
humiliation;défaite;humiliation de la défaite
regret;faute;regret de la faute
remords;péché;remords du péché
culpabilité;crime;culpabilité du crime
repentir;pardon;repentir du pardon
tristesse;départ;tristesse du départ
chagrin;perte;chagrin de la perte
deuil;mort;deuil de la mort
mélancolie;souvenir;mélancolie du souvenir
nostalgie;passé;nostalgie du passé
spleen;ennui;spleen de l'ennui
ennui;attente;ennui de l'attente
lassitude;répétition;lassitude de la répétition
dégoût;excès;dégoût de l'excès
écœurement;injustice;écœurement de l'injustice
colère;insulte;colère de l'insulte
rage;impuissance;rage de l'impuissance
fureur;trahison;fureur de la trahison
haine;ennemi;haine de l'ennemi
rancune;offense;rancune de l'offense
jalousie;succès;jalousie du succès
envie;bien;envie du bien
cupidité;argent;cupidité de l'argent
avarice;peur;avarice de la peur
peur;danger;peur du danger
crainte;inconnu;crainte de l'inconnu
angoisse;avenir;angoisse de l'avenir
anxiété;attente;anxiété de l'attente
panique;foule;panique de la foule
terreur;monstre;terreur du monstre
effroi;vue;effroi de la vue
horreur;crime;horreur du crime
épouvante;récit;épouvante du récit
surprise;cadeau;surprise du cadeau
étonnement;nouvelle;étonnement de la nouvelle
stupeur;révélation;stupeur de la révélation
choc;annonce;choc de l'annonce
traumatisme;accident;traumatisme de l'accident
confusion;bruit;confusion du bruit
doute;choix;doute du choix
hésitation;peur;hésitation de la peur
incertitude;lendemain;incertitude du lendemain
méfiance;étranger;méfiance de l'étranger
soupçon;jalousie;soupçon de la jalousie
paranoïa;complot;paranoïa du complot
confiance;ami;confiance de l'ami
foi;dieu;foi en dieu
croyance;miracle;croyance au miracle
espoir;guérison;espoir de guérison
optimisme;nature;optimisme de nature
pessimisme;expérience;pessimisme de l'expérience
désespoir;solitude;désespoir de la solitude
détresse;abandon;détresse de l'abandon
misère;monde;misère du monde
pitié;faible;pitié du faible
compassion;souffrance;compassion pour la souffrance
charité;pauvre;charité pour le pauvre
générosité;cœur;générosité du cœur
bonté;âme;bonté de l'âme
gentillesse;accueil;gentillesse de l'accueil
tendresse;geste;tendresse du geste
affection;parent;affection du parent
amour;vie;amour de la vie
passion;jeu;passion du jeu
désir;objet;désir de l'objet
plaisir;chair;plaisir de la chair
extase;musique;extase de la musique
ivresse;sommet;ivresse du sommet
vertige;amour;vertige de l'amour
folie;grandeur;folie des grandeurs
démence;âge;démence de l'âge
sagesse;expérience;sagesse de l'expérience
raison;état;raison d'état
logique;maths;logique des maths
bon sens;paysan;bon sens paysan
intuition;femme;intuition de la femme
instinct;survie;instinct de survie
réflexe;défense;réflexe de défense
automatisme;habitude;automatisme de l'habitude
habitude;vie;habitude de vie
coutume;pays;coutume du pays
tradition;famille;tradition de la famille
rituel;matin;rituel du matin
manie;ordre;manie de l'ordre
obsession;propreté;obsession de la propreté
vice;jeu;vice du jeu
vertu;exemple;vertu de l'exemple
qualité;défaut;qualité du défaut
défaut;qualité;défaut de la qualité
force;caractère;force de caractère
faiblesse;chair;faiblesse de la chair
courage;opinion;courage de l'opinion
lâcheté;fuite;lâcheté de la fuite
bravoure;combat;bravoure au combat
héroïsme;situation;héroïsme de la situation
sacrifice;soi;sacrifice de soi
abnégation;religieuse;abnégation religieuse
dévouement;malade;dévouement au malade
fidélité;chien;fidélité du chien
loyauté;service;loyauté de service
honnêteté;commerce;honnêteté en commerce
probité;justice;probité de la justice
intégrité;homme;intégrité de l'homme
justice;loi;justice de la loi
équité;partage;équité du partage
liberté;penser;liberté de penser
égalité;droit;égalité de droit
fraternité;arme;fraternité d'arme
solidarité;ouvrier;solidarité ouvrière
union;force;union de la force
discorde;pomme;discorde de la pomme
conflit;intérêt;conflit d'intérêt
guerre;religion;guerre de religion
paix;braves;paix des braves
calme;tempête;calme de la tempête
silence;nuit;silence de la nuit
bruit;fureur;bruit et fureur
parole;acte;parole et acte
cri;coeur;cri du cœur
murmure;vent;murmure du vent
chuchotement;confidence;chuchotement de la confidence
voix;peuple;voix du peuple
écho;montagne;écho de la montagne
réponse;question;réponse à la question
solution;problème;solution du problème
clé;mystère;clé du mystère
fin;histoire;fin de l'histoire
début;monde;début du monde
milieu;journée;milieu de journée
bout;tunnel;bout du tunnel
fond;piscine;fond de la piscine
surface;eau;surface de l'eau
haut;affiche;haut de l'affiche
bas;page;bas de page
côté;route;côté de la route
face;monde;face du monde
dos;mur;dos au mur
tête;liste;tête de liste
pied;lettre;pied de la lettre
main;sac;main dans le sac
doigt;œil;doigt dans l'œil
dent;dent;dent pour dent
oeil;oeil;œil pour œil
vie;mort;vie à la mort
mort;vie;mort de la vie
naissance;enfant;naissance de l'enfant
création;artiste;création de l'artiste
destruction;guerre;destruction de la guerre
construction;maison;construction de la maison
démolition;immeuble;démolition de l'immeuble
rénovation;façade;rénovation de la façade
restauration;tableau;restauration du tableau
conservation;nature;conservation de la nature
protection;environnement;protection de l'environnement
pollution;air;pollution de l'air
déchet;mer;déchet de la mer
tri;sélectif;tri sélectif
recyclage;papier;recyclage du papier
énergie;renouvelable;énergie renouvelable
solaire;panneau;solaire du panneau
éolien;parc;éolien du parc
nucléaire;centrale;nucléaire de la centrale
charbon;mine;charbon de la mine
pétrole;puits;pétrole du puits
gaz;oduc;gaz du gazoduc
électricité;barrage;électricité du barrage
lumière;ampoule;lumière de l'ampoule
ombre;soleil;ombre du soleil
nuit;jour;nuit du jour
jour;nuit;jour de la nuit
matin;soir;matin du soir
soir;matin;soir du matin
midi;minuit;midi à minuit
heure;été;heure d'été
minute;silence;minute de silence
seconde;réflexion;seconde de réflexion
instant;bonheur;instant de bonheur
moment;vérité;moment de vérité
éternité;amour;éternité de l'amour
jamais;dire;jamais dire
toujours;aimer;toujours aimer
souvent;venir;souvent venir
parfois;rire;parfois rire
rarement;pleurer;rarement pleurer
vite;courir;vite courir
lentement;marcher;lentement marcher
bien;faire;bien faire
mal;agir;mal agir
beaucoup;parler;beaucoup parler
peu;écouter;peu écouter
trop;manger;trop manger
assez;boire;assez boire
rien;dire;rien dire
tout;savoir;tout savoir
personne;voir;personne voir
quelqu'un;attendre;quelqu'un attendre
chacun;son;chacun son
aucun;regret;aucun regret
plusieurs;fois;plusieurs fois
nombreux;amis;nombreux amis
quelques;mots;quelques mots
différents;avis;différents avis
mêmes;goûts;mêmes goûts
autres;gens;autres gens
seul;monde;seul au monde
ensemble;vivre;ensemble vivre
groupe;rock;groupe de rock
équipe;foot;équipe de foot
foule;rue;foule de la rue
peuple;terre;peuple de la terre
nation;monde;nation du monde
pays;loi;pays de la loi
état;droit;état de droit
ville;habitant;ville de l'habitant
village;clocher;village du clocher
maison;mur;maison de murs
foyer;feu;foyer du feu
famille;sang;famille du sang
parent;enfant;parent de l'enfant
ami;cœur;ami de cœur
voisin;palier;voisin de palier
étranger;pays;étranger du pays
inconnu;bataillon;inconnu du bataillon
invité;honneur;invité d'honneur
hôte;maison;hôte de la maison
visiteur;soir;visiteur du soir
touriste;ville;touriste de la ville
voyageur;train;voyageur du train
passager;avion;passager de l'avion
conducteur;bus;conducteur du bus
pilote;course;pilote de course
capitaine;navire;capitaine du navire
chef;orchestre;chef d'orchestre
patron;boîte;patron de la boîte
employé;bureau;employé de bureau
ouvrier;usine;ouvrier d'usine
paysan;champ;paysan du champ
artisan;atelier;artisan de l'atelier
commerçant;boutique;commerçant de la boutique
médecin;hôpital;médecin de l'hôpital
avocat;barreau;avocat du barreau
juge;tribunal;juge du tribunal
policier;commissariat;policier du commissariat
pompier;caserne;pompier de la caserne
soldat;régiment;soldat du régiment
prêtre;paroisse;prêtre de la paroisse
professeur;école;professeur de l'école
élève;classe;élève de la classe
étudiant;fac;étudiant de la fac
retraité;club;retraité du club
chômeur;pôle;chômeur du pôle
bénévole;asso;bénévole de l'asso
militant;parti;militant du parti
électeur;urne;électeur de l'urne
candidat;poste;candidat au poste
élu;peuple;élu du peuple
ministre;état;ministre d'état
président;république;président de la république
roi;trône;roi du trône
reine;bal;reine du bal
prince;charmant;prince charmant
princesse;pois;princesse au pois
